,title,final,vote_average
6046,"Not With My Wife, You Don't!",Comedy RomainDuris MarinaFoïs CatherineDeneuve EricLartigau,6.75
6047,The East,Drama Thriller VincentAlvarez BrianAnderson KennyAnderson SpikeJonze,6.527
6048,Pretty Sweet,Documentary JeremiahBirkett SarahLassez WardRoberts TravisBetz,8.5
6049,Blancanieves,Drama Fantasy LindaCardellini MichaelShannon JohnSlattery LizaJohnson,7.276
6050,Return,Drama TeresaMadruga LauraSoveral HenriqueEspíritoSanto MiguelGomes,6.513
6051,Head Games,Documentary SamanthaKing BarbaraBrenner BarbaraEhrenreich LéaPool,6.7
6052,"Pink Ribbons, Inc.",Documentary JeanCarlosBatista JohnLeguizamo MiguelAngelSano JonathanPaley,6.8
6053,On the Edge,Drama Action Thriller Crime Foreign MiriamYeung RichieRen JoKuk LawWing-cheong,6.744
6054,Hawking,Drama TV Movie GaelGarcíaBernal AlfredoCastro NéstorCantillana PabloLarraín,7.156
6055,Now Is Good,Drama Romance ChadMichaelMurray KateeSackhoff AbigailSpencer TomElkins,7.36
6056,No Man of Her Own,Drama ZandraAndersson MoaSilén AnastasiosSoulis TeresaFabik,7.0
6057,Side Effects,Thriller Crime Drama SatyaBhabha ShahanaGoswami ShabanaAzmi DeepaMehta,6.583
6058,The Waiting Room,Drama Foreign Romance LesliKay KeithCoulouris KaelaDobkin KeithCoulouris,7.088
6059,Resident Evil: Damnation,Animation EricMitchell PattiAstor DeborahHarry AmosPoe,6.858
6060,The Foreigner,Thriller Drama SenadBašić MustafaNadarević SemkaSokolović-Bertok PjerŽalica,6.935
6061,The Bang Bang Club,Drama Romance AmiAyalon AvrahamShalom YaakovPeri DrorMoreh,6.7
6062,The Gatekeepers,Documentary CharlieSheen JasonSchwartzman BillMurray RomanCoppola,6.977
6063,The Rumble in the Air: Conditioned Auditorium,Comedy GeorgeLauris SteveBoergadine JimBradford EdRagozzino,6.9
6064,Song for Marion,Music Comedy Romance Drama AldenEhrenreich AliceEnglert JeremyIrons RichardLaGravenese,6.8
6065,Living Free,Adventure Drama Family Foreign BurtLancaster JodyLawrance GilbertRoland WillisGoldbeck,6.7
6066,War Witch,Drama War PoojaChopra AnkitaShorey RuhiSingh NishaPahuja,6.577
6067,The World Before Her,Documentary  ReneeTajima-Pena,6.9
6068,Safe Haven,Romance JulietteBinoche AnaïsDemoustier JoannaKulig MałgorzataSzumowska,7.25
6069,The Match King,Drama RoseByrne Rikiya NicholasHope ClaraLaw,6.6
6070,The Goddess of 1967,Romance Drama Comedy KjellBergqvist MichaelSegerström AnnPetrén FredrikBoklund,6.818
6071,PressPausePlay,Documentary Music Foreign GregCollins OscarJames JimFitzpatrick YossiWein,7.1
6072,The Angel Levine,Drama Jean-ClaudeVanDamme ScottAdkins DolphLundgren JohnHyams,7.0
6073,Benji,Documentary JazzyDeLisser ChelseaLogan AdwoaAboah EricaDunton,6.952
6074,Patton Oswalt: No Reason to Complain,Comedy DeborahSecco CássioGabusMendes DricaMoraes MarcusBaldini,7.4
6075,Death of a Salesman,Drama NinaFoch NormanLloyd BlytheDanner BorisSagal,6.909
6076,The Scarecrow,  None,7.451
6077,Film Noir: Bringing Darkness to Light,Documentary KarlheinzStockhausen FrankScheffer,7.077
6078,Before Midnight,Romance Drama LeightonMeester HughLaurie AliaShawkat JulianFarino,7.512
6079,Fake It So Real,Documentary MickeyHargitay RitaCalderoni RaulLovecchio RenatoPolselli,6.8
6080,Which Way Home,Documentary KareenaKapoor ArjunRampal RandeepHooda MadhurBhandarkar,8.029
6081,Lucifer Rising,Mystery Fantasy IsabelChristineAndreasen IngridBolsøBerdal KristianEspedal RoarUthaug,6.9
6082,The Pirate Bay: Away From Keyboard,Documentary ChristosStergioglou MariaKallimani YorgosSouxes ElinaPsikou,7.158
6083,Living in Emergency: Stories of Doctors Without Borders,Documentary KeriRussell JoshHamilton DakotaGoyo ScottStewart,8.0
6084,A Coffee in Berlin,Comedy Drama WenZhang ShuQi HuangBo StephenChow,7.169
6085,Holy Wars,  WilliamLewis,7.5
6086,911 in Plane Site,Documentary ChristopherMeloni RobertForster TobyMoore TomMcLoughlin,7.2
6087,A Movie,Documentary RenéNavarre GeorgesMelchior EdmundBreon LouisFeuillade,7.678
6088,"Look, Up in the Sky: The Amazing Story of Superman",Documentary  CarlosCasas,7.3
6089,ARAL. Fishing in an Invisible Sea,Documentary FranceArnel LaurenceLignères ClaudeMassot PierreÉtaix,7.2
6090,Lenny Bruce: Swear to Tell the Truth,Comedy Documentary JamesBest SusanCummings TomPittman SamuelFuller,7.611
6091,The Legend of Sleepy Hollow,Family Animation DwayneJohnson D.J.Cotrona AdriannePalicki JonM.Chu,7.557
6092,Stoker,Drama Horror Thriller EdHarris DavidDuchovny LanceHenriksen ToddRobinson,6.659
6093,Sound City,Documentary Music JamesFranco MilaKunis RachelWeisz SamRaimi,7.347
6094,Fog City Mavericks,Documentary ColinFarrell NoomiRapace TerrenceHoward NielsArdenOplev,8.5
6095,The Croods,Adventure Animation Comedy Family Fantasy PierreÉtaix MauriceBiraud MichelLewin PierreÉtaix,6.907
6096,Sons of Perdition,Documentary ErinBrockovich-Ellis GinaGallego JayFamiglietti JessicaYu,6.7
6097,Last Call at the Oasis,Documentary EricRoberts BenBecker ChristianTraeumer ZsoltBács,7.167
6098,Central Park,Documentary KeikoKishi TatsuyaNakadai SôYamamura MasakiKobayashi,7.231
6099,"Hello, Friend", ClarkGable DeborahKerr SydneyGreenstreet JackConway,6.9
6100,The Hucksters,Comedy Drama Romance MatthewFox TommyLeeJones ErikoHatsune PeterWebber,6.9
6101,Genghis Khan,Drama Action History MichaelBentt LuciaRijker KatyaBankowsky,6.717
6102,The Great Gatsby,Drama AlannaAlmeda CharlieT.Deane GuadencioFernandez EricByler,7.381
6103,The Sadist,Horror IsidoraSimijonović VukašinJasnić SanjaMikitišin MajaMiloš,6.618
6104,Westward the Women,Drama Western MichaelO'Keefe OlesyaRulin JamesVanPatten None,7.2
6105,Pablo's Hippos,Documentary DebbyRyan SarenaParmar AdamDiMarco PeterHowitt,8.0
6106,StarStruck,Comedy Romance TV Movie SarahHyland MattProkop SashaPieterse JeffreyHornaday,7.005
6107,Geek Charming,Comedy Drama Family TV Movie CristiPetrescu IuliaVerdes GeorgeDorobantu,6.623
6108,Operation: Daybreak,Action War JeffDaniels StevenMcCarthy JohnHenryCanavan RobertHarmon,6.9
6109,The Crossing,Drama History War  MichaelStillwater,6.6
6110,Stolen Seas, PaulLangton LeslieDenison TeruShimada W.LeeWilder,7.8
6111,The Call,Crime Thriller GerardButler AaronEckhart AngelaBassett AntoineFuqua,6.804
6112,Gregory Crewdson: Brief Encounters,Documentary GregoryScottCummins LauraAlbert ShelleyAbblett TanyaRosenberg,7.25
6113,Laffghanistan: Comedy Down Range,Documentary GuillermoFrancella ArturoPuig RitaCortese AnaKatz,8.0
6114,The First Time,Drama Comedy Romance TomokoKotani TakumiYamazaki TaichirōHirokawa YasuomiUmetsu,7.015
6115,Company,Music KatieCassidy TracySpiridakos DonalLogue MichaelGreenspan,6.661
6116,The Brussels Business, GriffinDunne DanFutterman PatriciaKalember JoanMicklinSilver,6.8
6117,The Substitute,Drama Thriller WarrenWilliam MaryAstor GingerRogers RoyDelRuth,6.842
6118,The Place Beyond the Pines,Drama Crime StigHenrikHoff LachlanNieboer RupertGrint PetterNæss,6.957
6119,Into the White,Action Drama JunoTemple MichaelAngarano AlexisBledel RamaaMosley,6.901
6120,A Bird of the Air,Drama Romance RutgerHauer PowersBoothe KathleenTurner PhilippeMora,6.548
6121,The Whale,Documentary TinaFey PaulRudd MichaelSheen PaulWeitz,8.038
6122,A Bunch of Amateurs,Comedy ChristianVadim SergioHernández ValentinaVargas RaúlRuiz,7.7
6123,'Twas the Night Before Christmas,Animation Family KylaPratt KristenWilson TaraWilson RichThorne,7.0
6124,One Life,Family Documentary IsaiahWashington TequanRichmond TimBlakeNelson AlexandreMoors,7.514
6125,Bad 25,Documentary Predrag'Miki'Manojlović IvaKrajnc NebojšaDugalić SrđanKaranović,7.3
6126,Lush Life,Drama HisaoEgawa ToshikoFujita HiroshiKamiya KenjiKamiyama,7.2
6127,Evil Dead,Horror JamesMcAvoy VincentCassel RosarioDawson DannyBoyle,7.079
6128,Trance,Thriller Crime Drama Mystery RussTamblyn KumiMizuno KenjiSahara IshirôHonda,6.632
6129,My Awkward Sexual Adventure,Comedy Romance DianeKruger DanyBoon AlicePol PascalChaumeil,6.931
6130,Better This World,Documentary JoshuaJackson LeonorVarela DennisHopper KevinNoland,6.9
6131,The Mountain,Adventure Drama PeterMcEnery SusanHampshire GordonJackson MichaelO'Herlihy,6.868
6132,National Geographic: Hitler's Stealth Fighter,Documentary  LisaLeeman,8.0
6133,One Lucky Elephant,Documentary AnnabethBarnes JoshHobson BrandonWarren MarshallCurry,7.2
6134,Racing Dreams,Documentary MichaelPeterson Jean-XavierdeLestrade,7.3
6135,The Staircase,Drama Documentary SamShepard JohnnyDark JohnnyDark TrevaWurmfeld,8.0
6136,Teenage Paparazzo,Documentary AlanAlda MamieGummer StevenPressman,7.1
6137,Oblivion,Action SciFi Adventure Mystery DominiqueSwain JakeBusey TrevorKuhn JosephJ.Lawson,6.612
6138,Bones Brigade: An Autobiography,Documentary BenAffleck OlgaKurylenko JavierBardem TerrenceMalick,7.9
6139,42,Drama EskoSalminen LeeaKlemola MarkkuPeltola VeikkoAaltonen,7.149
6140,The Prodigal Son, WilliamDaniels NancyMarchand JaneConnell FrankPerry,8.0
6141,The Burning Bed,TV Movie Crime Drama RandolphScott AngelaLansbury WarnerAnderson JosephH.Lewis,6.9
6142,U2: From the Sky Down,Music Documentary NickStahl AliLiebert NicolasWright MikeClattenburg,7.556
6143,Tesla: Master of Lightning,Documentary History HeatherLangenkamp RobertEnglund WesCraven AndrewKasch,7.6
6144,Never Sleep Again: The Elm Street Legacy,Documentary JasonBateman HopeDavis FrankGrillo HenryAlexRubin,7.88
6145,Disconnect,Drama Thriller JustinLong JamesUrbaniak MichaelaWatkins RyanPerez,7.055
6146,Last Cowboy Standing,Drama RinTakanashi TadashiOkuno RyoKase AbbasKiarostami,6.6
6147,The Taming of the Shrew,Drama Comedy Romance JamesCagney BetteDavis StuartErwin WilliamKeighley,7.036
6148,The Bride Came C.O.D.,Comedy Romance BudAbbott LouCostello VirginiaGrey CharlesBarton,7.3
6149,Hulk vs. Wolverine,Animation Action SciFi RickD.Wasserman MarcWorden MarkHildreth SamLiu,7.088
6150,Planet Hulk,Animation Action SciFi BobbyHackney DannisHackney DavidHackney MarkChristopherCovino,7.0
6151,A Band Called Death,Documentary Music ScottElrod DorianBrown CharlesHenryWyson DavidBoyd,7.207
6152,Always in My Heart,Drama Music KevinConroy TimDaly SusanEisenberg LaurenMontgomery,7.0
6153,Justice League: Doom,Action Animation Thriller ChrisTemple RyanChristoffersen ZachIngrasci ZachIngrasci,7.416
6154,American Winter,Documentary MarionDavies ClarkGable C.AubreySmith AlfredSantell,7.0
6155,Going to Pieces: The Rise and Fall of the Slasher Film,Documentary Horror JasonGraham CharlesNapier JeffDenton AdamFields,6.8
6156,Iron Man 3,Action Adventure SciFi OliviaWilliams ImogenPoots GretaScacchi JeremyLovering,6.926
6157,Superman: Unbound,Animation Action Adventure JuddHoldren AlineTowne LaneBradford None,6.625
6158,Standing Up,Drama HyunBin TangWei JunKim KimTae-yong,6.935
6159,"20,000 Leagues Under the Sea",Adventure Fantasy Action SciFi GeorgeArliss MaryAstor EvalynKnapp JohnG.Adolfi,7.077
6160,Mud,Drama PierfrancescoFavino CarolinaCrescentini ElenaDiCioccio GiulianoMontaldo,7.051
6161,The Tenth Man,Drama Romance War TV Movie BillHicks ChrisBould,7.133
6162,Bill Hicks: Revelations,Comedy TiLung DangWai-Ho KuKuan-Chung ChorYuen,8.156
6163,Manhunt: The Inside Story of the Hunt for Bin Laden,Documentary FelicityJones LukeTreadaway ElizabethMcGovern DonaldRice,6.9
6164,The South Shaolin Master,Action SharonStone BradDavis JonathanBanks DorothyAnnPuzo,8.0
6165,Henry IV Part 1,Drama History OlesyaRulin KristinChenoweth MatthewModine BenjaminEpps,7.0
6166,The Woman Who Wasn't There,Documentary FrankieAvalon DeborahWalley CesarRomero NormanTaurog,6.756
6167,8:46,Drama  JamesColquhoun,7.622
6168,Hungry for Change,Documentary EdoardoGabbriellini MalcolmLunghi NicolettaBraschi PaoloVirzì,6.8
6169,Henry IV Part 2,Drama History LaurenceGuvillier DavosHanich FrançoisMaspero ChrisMarker,8.0
6170,Shaolin Temple,Action Adventure TiLung ChingLi ElliotNgok ChorYuen,6.8
6171,Dangerous Corner,Mystery CharlotteGainsbourg JohnHannah NastassjaKinski DavidBailey,8.0
6172,The Great Gatsby,Drama Romance MeloraWalters WilliamMapother JohannaBraddy BarbaraStepansky,7.381
6173,Sicilia!,  PhillipNeel,6.6
6174,Star Trek Into Darkness,Action Adventure SciFi NobukoMiyamoto ShingoYamashiro TsutomuYamazaki KiyoshiKurosawa,7.332
6175,Foreverland, JoelEdgerton TeresaPalmer FelicityPrice KieranDarcy-Smith,6.6
6176,The Man with a Cloak,Drama Thriller ForrestJ.Ackerman JohnBadham DianeBaker JeffreySchwarz,7.107
6177,Spine Tingler! The William Castle Story,Documentary TomSelleck SuzyAmis RachelDuncan DickLowry,7.682
6178,Stories We Tell,Documentary SkipLipman KenyonWells DanielMcArthur LukeMeyer,7.099
6179,Darkon,Documentary Fantasy YvonChouinard DougTompkins KeithMalloy ChrisMalloy,6.559
6180,180° South: Conquerors of the Useless,Comedy Documentary Drama KieferSutherland HenryCzerny PollyWalker PaulMarcus,7.1
6181,Three Smart Girls Grow Up,Comedy AleksandrDemyanenko YuriyYakovlev LeonidKuravlyov LeonidGayday,6.8
6182,Garbo: The Spy,Documentary Foreign VinDiesel PaulWalker DwayneJohnson JustinLin,7.1
6183,Fast & Furious 6,Action Thriller Crime JoshHutcherson AmandaSeyfried ColinFarrell ChrisWedge,6.817
6184,The Rink,Comedy RebBrown ConnieSellecca LenBirman IvanNagy,6.856
6185,Bush Mama,Drama DianeKeaton TomEverettScott AlexaDavalos CharlesMcDougall,6.6
6186,The Merchant of Venice, BryceDallasHoward ChrisEvans EllenBurstyn JodieMarkell,6.817
6187,Frances Ha,Comedy Drama SheriMoonZombie BruceDavison JeffDanielPhillips RobZombie,7.409
6188,Behind the Candelabra,Drama Romance  RobertoRossellini,6.7
6189,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,Documentary NikolaKojo HristinaPopović MilošSamolov SrđanDragojević,7.964
6190,Firecracker,Mystery Thriller  None,6.6
6191,With Great Power: The Stan Lee Story,Documentary EliRoth AndreaOsvárt ArielLevy NicolásLópez,6.8
6192,Privilege,Drama PatriziaGerardi TairoCaroli WalterSaabel TizzaCovi,6.7
6193,Little Girl,Drama JohnMcInerny GriseldaSiciliani MargaritaLopez ArmandoBo,7.852
6194,Last Days Here,Documentary JadenSmith WillSmith SophieOkonedo M.NightShyamalan,7.4
6195,Now You See Me,Thriller Crime AmandaSeyfried PeterSarsgaard HankAzaria RobEpstein,7.342
6196,A Dangerous Place,Crime JimWard MasuimiMax SteveHaworth JasonGary,6.8
6197,Hiroshima,Documentary Drama  None,7.0
6198,War Made Easy: How Presidents & Pundits Keep Spinning Us to Death,Documentary JohnathonSchaech AndreaFrankle PhilippeBrenninkmeyer PaulSoter,7.2
6199,Take Me Home,Comedy Romance PauletteGoddard MichaelWilding DianaWynyard AlexanderKorda,6.553
6200,Somebody Up There Likes Me,Comedy FakirMusafar JimWard CharlesGatewood DanJury,7.237
6201,Mary and Martha,Drama ArtikaSariDevi MartinusMiroto EkoSupriyanto GarinNugroho,6.623
6202,The Color of Friendship,Family Drama TobyJones ToniaSotiropoulou SusannaCapellaro PeterStrickland,7.0
6203,The Way Way Back,Comedy Drama RavenAdamson KatieCoseni MadeleineBisson LaurentCantet,7.124
6204,Vasermil,Drama  MelodyGilbert,6.6
6205,Penthouse,Crime Drama Mystery VinessaShaw EbonMoss-Bachrach DanielGiménezCacho Makinov,6.813
6206,Much Ado About Nothing,Comedy AlanCumming GarretDillahunt IsaacLeyva TravisFine,6.957
6207,Any Day Now,Drama Kenneth'Kenta'Gustafsson Gustav'Stoffe'Svensson StefanJarl,7.207
6208,Man of Steel,Action Adventure Fantasy SciFi CharlieChaplin EdnaPurviance WesleyRuggles CharlieChaplin,6.605
6209,The Kings of Summer,Comedy Drama KartikTiwari RaayoS.Bakhirta NushratBharucha LuvRanjan,7.036
6210,Pyaar Ka Punchnama,Drama Comedy Romance Foreign AliZafar AditiRaoHydari AnuMenon,6.907
6211,Still Mine,Drama BarbaraSukowa AxelMilberg JanetMcTeer MargarethevonTrotta,6.897
6212,Birders: The Central Park Effect,Documentary GeorgeH.W.Bush BarbaraBush LauraBush JeffreyRoth,8.0
6213,God Bless Ozzy Osbourne,Documentary Music RizAhmed KateHudson KieferSutherland MiraNair,7.308
6214,The Reluctant Fundamentalist,Thriller CraigRobinson AnnaKendrick JohnFrancisDaley PaulMiddleditch,6.654
6215,The Witches,Horror EricBossick AkikoMonô YûkoNakamura ShinyaTsukamoto,6.92
6216,20 Feet from Stardom,Documentary Music MangFely DoloresSantamaria GeorgetteBaudry KidlatTahimik,7.272
6217,Bad Blood: A Cautionary Tale,Documentary GeorgeLopez FrancesFisher JakeBusey LevL.Spiro,7.5
6218,AM1200,Horror GeorgePeppard JoanCollins JudyGeeson SamWanamaker,7.4
6219,Monsters University,Animation Family  JorgeCosta,7.028
6220,The War You Don't See,Documentary MatthiasSchweighöfer MilanPeschel NadjaUhl MatthiasSchweighöfer,7.7
6221,Julius Caesar,Drama DominiqueGarny ThierryZéno,6.522
6222,Eden,Drama TenochHuerta CarlosBardem JoséAlbertoSolorzano EverardoGout,6.669
6223,A Place at the Table,Documentary RieKugimiya Shin'ichirouMiki FumikoOrikasa KazuyaMurata,6.8
6224,Pacific Rim,Action SciFi Adventure ClancyBrown RobPaulsen BrianBloom JonBurton,6.867
6225,The Best Offer,Drama Romance Crime Mystery HaleyJoelOsment AnnaGunn AshleyRickards ColeySohn,7.839
6226,A Flea In Her Ear,Comedy SusanHayward DeanMartin WilfridHyde-White DanielMann,6.7
6227,World War Z,Action Drama Horror SciFi Thriller MattDamon JodieFoster SharltoCopley NeillBlomkamp,6.803
6228,Dirty Wars,Documentary Drama War Crime Mystery JasonPriestley BradleyCooper EmmaCaulfield SheldonLarry,7.1
6229,Unconditional,Drama Prince SheilaE. LeviSeacerJr. Prince,6.719
6230,Sign 'o' the Times,Music GeorgeKennedy MikeKellin ChrisLemmon JeffLieberman,6.9
6231,We Steal Secrets: The Story of WikiLeaks,Documentary AlexanderSkarsgård JulianneMoore SteveCoogan ScottMcGehee,6.643
6232,What Maisie Knew,Drama KellyStables MaclainNelson AdamJohnson StephenShimek,7.084
6233,Dragon Hunter,Fantasy HenryHübchen MichaelGwisdek BennoFürmann LeanderHaußmann,6.545
6234,The Death of Maria Malibran,Drama  NoriakiTsuchimoto,6.75
6235,Minamata: The Victims and Their World, KatharineIsabelle JuliaMaxwell AntonioCupo JenSoska,7.0
6236,Odd Thomas,Mystery Thriller VictorRebengiuc MimiBranescu CristiPuiu,6.938
6237,Jim Gaffigan: Mr. Universe,Comedy TV Movie ChuckMcCann RodneyDangerfield InaBalin HarryHurwitz,6.958
6238,Despicable Me 2,Animation Comedy Family ChanningTatum JamieFoxx JoeyKing RolandEmmerich,6.914
6239,The World's End,Comedy Action SciFi LeighFrancis KellyBrook HollyWilloughby PaulAngunawela,6.793
6240,The Heat,Action Comedy Crime KevinBishop JackDoolan FrancesBarber StuartUrban,6.601
6241,The Last Seven,Thriller JohnnyDepp ArmieHammer WilliamFichtner GoreVerbinski,7.258
6242,My Perestroika,Documentary FredMacMurray EleanorParker RichardCarlson GeorgeMarshall,7.0
6243,"Ah, Wilderness!",Comedy Drama TomSelleck VirginiaMadsen DavidO'Hara SimonWincer,6.8
6244,Woody Allen: A Documentary,Documentary KimTae-woo KimBo-Kyeong JinGoo JungSik,6.885
6245,Pussy Riot: A Punk Prayer,Music Documentary RobertClotworthy DanDidio LenWein StevenSmith,6.8
6246,Batman Unmasked: The Psychology of the Dark Knight,Documentary EvanMacKenzie EvaLaRue KevinMcCarthy JohnCarlBuechler,7.511
6247,How to Make Money Selling Drugs,Documentary LasseÅberg FilipArsic-Johnsson JonasBane LasseÅberg,7.0
6248,Gideon's Army,Documentary NicolWilliamson JaneLapotaire IanHogg JackGold,7.2
6249,Along the Great Divide,Western Adventure Romance BobSteele SydSaylor I.StanfordJolley HarryL.Fraser,7.276
6250,Food Matters,Documentary MarthaHigareda BlancaGuerra CamilaSodi FernandoSariñana,6.6
6251,The Spectacular Now,Comedy Drama Romance MarkRuffalo GwynethPaltrow TimRobbins StuartBlumberg,6.641
6252,Partners: The Movie II,Crime Drama PilouAsbæk SørenMalling DarSalim TobiasLindholm,9.0
